name;city;node;region;latitude;longitude
h2_terminal_EU-NLD;Rotterdam;EU-NLD;central_europe;51.948455;4.140296
h2_terminal_EU-PRT;Sines;EU-PRT;southern_europe;37.96109782;-8.878687693
h2_terminal_EU-ESP;Valencia;EU-ESP;southern_europe;39.46371349;-0.358819791
h2_terminal_EU-ITA;Porto_Levante;EU-ITA;southern_europe;45.20581728;12.29365557
h2_terminal_AS-TUR;Dortyol;AS-TUR;middle_east;36.82594079;36.17789803
h2_terminal_EU-SWE;Brunnviksholmen;EU-SWE;northern_europe;58.91302463;17.96051026
h2_terminal_EU-GBR;Milford_Haven;EU-GBR;northern_europe;51.70829017;-5.064629774
h2_terminal_AS-QAT;Ras_Laffan;AS-QAT;middle_east;25.88352101;51.48026132
h2_terminal_AS-IND-WE;Mumbai;AS-IND-WE;southern_asia;18.94474242;72.95007435
h2_terminal_AS-BGD;Chittagon;AS-BGD;southern_asia;22.2564994;91.78494178
h2_terminal_AS-SGP;Singapore;AS-SGP;south_eastern_asia;1.292451025;103.6395465
h2_terminal_AS-IDN;Sorong;AS-IDN;south_eastern_asia;-0.886133263;131.2711115
h2_terminal_AS-CHN-SH;Shanghai;AS-CHN-SH;eastern_asia;31.33184934;121.6378003
h2_terminal_AS-JPN-TO;Yokohama;AS-JPN-TO;eastern_asia;35.47749945;139.6782047
h2_terminal_AS-VNM;Hai_Lang;AS-VNM;south_eastern_asia;20.71420444;106.7809084
h2_terminal_OC-AUS-SW;Port_Kembla;OC-AUS-SW;australia_oceania;-34.45305418;150.8991453
h2_terminal_NA-USA-CA;San_Francisco;NA-USA-CA;north_america;37.80547891;-122.316331
h2_terminal_NA-USA-SV;Lusby;NA-USA-SV;north_america;38.35088213;-76.41107992
h2_terminal_NA-USA-SA;New_Orleans;NA-USA-SA;north_america;30.27045948;-89.39198205
h2_terminal_NA-MEX;Coatzacoalcos;NA-MEX;central_america;18.15567585;-94.53611801
h2_terminal_NA-NIC;Puerto_Sandino;NA-NIC;central_america;12.20558819;-86.76190561
h2_terminal_NA-DOM;Andres;NA-DOM;caribbean;18.42384896;-69.63327809
h2_terminal_NA-TTO;Point_Fortin;NA-TTO;west_coast_south_america;10.18311816;-61.6857033
h2_terminal_SA-BRA-SE;Rio_de_Janeiro;SA-BRA-SE;west_coast_south_america;-22.95599094;-43.05571612
h2_terminal_SA-ARG;Bahia_Blanca;SA-ARG;west_coast_south_america;-38.78344354;-62.28532924
h2_terminal_SA-CHL;Conception;SA-CHL;east_coast_south_america;-36.74401539;-73.12499889
h2_terminal_SA-PER;Lima;SA-PER;east_coast_south_america;-11.81733442;-77.17339115
h2_terminal_AF-DZA;Skikda;AF-DZA;northern_africa;36.88583367;6.904377788
h2_terminal_AF-SEN;Dakar;AF-SEN;north_west_coast_africa;14.73659842;-17.48121032
h2_terminal_AF-NGA;Lagos;AF-NGA;north_west_coast_africa;6.42947025;3.496368203
h2_terminal_AF-AGO;Soyo;AF-AGO;west_coast_africa;-6.118802198;12.33208099
h2_terminal_AF-ZAF;Cape_Town;AF-ZAF;southern_africa;-33.73154934;18.4458488
h2_terminal_AF-TZA;Lindi;AF-TZA;east_coast_africa;-9.969284089;39.70493781
h2_terminal_AF-EGY;Attaka;AF-EGY;northern_africa;29.91628866;32.44917731
h2_terminal_NA-USA-HA;Kalaola;NA-USA-HA;north_america;19.73562545;-156.0123841
h2_terminal_OC-AUS-WA;Burrup;OC-AUS-WA;australia_oceania;-21.80043045;114.8019882
